Mã người đăng,Mã bài đăng,Mã dự án,Tỉnh/Thành phố cũ,Tỉnh/Thành phố mới,Huyện/Quận cũ,Phường/Xã cũ,Phường mới,Số nhà,Đường,Loại hình,Cập nhât lần cuối,Số tầng,Có hướng ra đường,Vĩ độ,Kinh độ,Tọa độ,Tọa độ ID,Giá (chữ),Chiều dài,Chiều rộng,Mức độ quảng cáo,Đăng bởi Đối tác,Ngày đăng,Giá bán,Hình thức,Tình trạng nội thất,Đặc điểm căn hộ,Hướng cửa chính,Loại hình căn hộ,Hướng ban công,Đơn giá (tr/m2),Giấy tờ pháp lý,Số phòng ngủ,Diện tích,Số phòng vệ sinh
22876787,130095820,721813180,Bình Dương,TP Hồ Chí Minh,Thành phố Dĩ An,Phường Dĩ An,Phường Dĩ An,,Tỉnh lộ 743C,Căn hộ/Chung cư,2 tuần trước,0,False,10.90704,106.76897,"10.90704,106.76897",,"1,85 tỷ",,,0,False,2026-03-14 12:26:10,1850000000 ₫,Mua bán,,,,Chung cư,,37 tr/m²,Đang chờ sổ,1 PN,50 m²,1
541547,130095920,,Tp Hồ Chí Minh,TP Hồ Chí Minh,Thành phố Thủ Đức,Phường Long Thạnh Mỹ (Quận 9 cũ),Phường Long Bình,,Đường Nguyễn Xiển,Căn hộ/Chung cư,3 ngày trước,0,True,10.853436,106.83371,"10.8534362,106.8337123",osm:W32899372,"2,05 tỷ",,,0,False,2026-03-27 10:00:01,2050000000 ₫,Mua bán,Nội thất đầy đủ,,Tây Bắc,Chung cư,Đông Nam,68.333336 tr/m²,Đang chờ sổ,1 PN,30 m²,1
21788908,130096942,1208735487,Tp Hồ Chí Minh,TP Hồ Chí Minh,Quận Bình Tân,Phường An Lạc,Phường An Lạc,,Võ Văn Kiệt,Căn hộ/Chung cư,3 tuần trước,0,False,10.72262,106.61204,"10.72262,106.61204",,"3,55 tỷ",,,0,False,2026-03-06 16:22:01,3550000000 ₫,Mua bán,Nội thất đầy đủ,,,Chung cư,,63.392857 tr/m²,Sổ hồng riêng,2 PN,56 m²,1
2582582,130099703,2114973795,Bình Dương,TP Hồ Chí Minh,Thành phố Thuận An,Phường Lái Thiêu,Phường Lái Thiêu,,Đại Lộ Bình Dương,Căn hộ/Chung cư,2 tuần trước,0,False,10.90971,106.71232,"10.90971,106.71232",,"2,36 tỷ",,,0,False,2026-03-13 13:44:01,2360000000 ₫,Mua bán,Nội thất đầy đủ,,,Chung cư,Đông Nam,37.341774 tr/m²,Hợp đồng mua bán,2 PN,63.2 m²,2
22813884,130103072,,Tp Hồ Chí Minh,TP Hồ Chí Minh,Quận Tân Phú,Phường Tây Thạnh,Phường Tây Thạnh,,Đường Hồ Đắc Di,Căn hộ/Chung cư,3 tuần trước,0,True,10.805846,106.6342,"10.8058463,106.6342047",osm:W1185672792,"4,5 triệu",,,0,False,2026-03-08 14:13:01,4500000 ₫,Mua bán,Nội thất cao cấp,,,"Căn hộ dịch vụ, mini",,0.1125 tr/m²,Hợp đồng đặt cọc,1 PN,40 m²,1
30628742,130104156,624355282,Tp Hồ Chí Minh,TP Hồ Chí Minh,Quận Bình Thạnh,Phường 22,Phường Thạnh Mỹ Tây,208,Nguyễn Hữu Cảnh,Căn hộ/Chung cư,4 tuần trước,0,False,10.79387,106.72032,"10.79387,106.72032",,"15,8 tỷ",,,,False,2026-03-02 15:49:50,15800000000 ₫,Mua bán,,,,Chung cư,,166.3158 tr/m²,Sổ hồng riêng,3 PN,95 m²,2
26666792,130104658,,Tp Hồ Chí Minh,TP Hồ Chí Minh,Quận 7,Phường Phú Mỹ,Phường Tân Mỹ,,Đường Phạm Hữu Lầu,Căn hộ/Chung cư,1 tuần trước,0,True,10.704245,106.72961,"10.7042447,106.729607",osm:W32584000,"3,3 tỷ",,,0,False,2026-03-20 14:53:01,3300000000 ₫,Mua bán,,,,Chung cư,,51.5625 tr/m²,Sổ hồng riêng,2 PN,64 m²,1
9196204,130107121,1275317594,Bình Dương,TP Hồ Chí Minh,Thị xã Bến Cát,Phường Mỹ Phước,Phường Bến Cát,,DA1-1,Căn hộ/Chung cư,3 tuần trước,0,False,11.14645,106.61191,"11.14645,106.61191",,275 triệu,,,0,False,2026-03-05 23:22:59,275000000 ₫,Mua bán,Hoàn thiện cơ bản,,,Chung cư,,9.166667 tr/m²,Hợp đồng mua bán,2 PN,30 m²,1
12614607,130109009,1000826750,Tp Hồ Chí Minh,TP Hồ Chí Minh,Quận 7,Phường Phú Thuận,Phường Phú Thuận,370,Nguyễn Văn Quỳ,Căn hộ/Chung cư,3 ngày trước,0,False,10.74272,106.74063,"10.74272,106.74063",,"3,85 tỷ",,,0,False,2026-03-27 09:12:03,3850000000 ₫,Mua bán,Nội thất đầy đủ,,,Chung cư,,50.657894 tr/m²,Sổ hồng riêng,2 PN,76 m²,2
5438135,130109459,1048125356,Bình Dương,TP Hồ Chí Minh,Thành phố Thủ Dầu Một,Phường Chánh Nghĩa,Phường Thủ Dầu Một,,Trần Phú,Căn hộ/Chung cư,2 tuần trước,0,False,10.97374,106.66504,"10.97374,106.66504",,"2,48 tỷ",,,0,False,2026-03-19 10:40:18,2480000000 ₫,Mua bán,Nội thất cao cấp,Căn góc,,Chung cư,,31 tr/m²,Sổ hồng riêng,2 PN,80 m²,2
9554537,130109924,914802636,Tp Hồ Chí Minh,TP Hồ Chí Minh,Quận 10,Phường 7,Phường Diên Hồng,,Lý Thường Kiệt,Căn hộ/Chung cư,4 ngày trước,0,False,10.76538,106.66006,"10.76538,106.66006",,"2,7 tỷ",,,0,False,2026-03-25 11:58:46,2700000000 ₫,Mua bán,,,,Chung cư,,54 tr/m²,Sổ hồng riêng,2 PN,50 m²,1
26737749,130110630,,Tp Hồ Chí Minh,TP Hồ Chí Minh,Quận 8,Phường 5,Phường Chánh Hưng,,Đường Bông Sao,Căn hộ/Chung cư,2 tuần trước,0,True,10.736946,106.663055,"10.736946,106.6630553",osm:W694946373,"3,38 tỷ",,,0,False,2026-03-14 10:11:25,3380000000 ₫,Mua bán,Nội thất đầy đủ,,,Chung cư,,52.160492 tr/m²,Sổ hồng riêng,2 PN,64.8 m²,1
27781528,130111036,614475681,Tp Hồ Chí Minh,TP Hồ Chí Minh,Quận 8,Phường 6,Phường Bình Đông,,Tạ Quang Bửu,Căn hộ/Chung cư,3 tuần trước,0,True,10.73175,106.64951,"10.73175,106.64951",osm:W694946373,"3,38 tỷ",,,0,False,2026-03-11 08:40:38,3380000000 ₫,Mua bán,Nội thất cao cấp,,,Chung cư,Đông Nam,49.705883 tr/m²,Sổ hồng riêng,2 PN,68 m²,1
10922381,130111242,1937369028,Bình Dương,TP Hồ Chí Minh,Thành phố Dĩ An,Phường Bình Thắng,Phường Đông Hòa,,Xa Lộ Hà Nội,Căn hộ/Chung cư,1 tuần trước,0,False,10.90366,106.79386,"10.90366,106.79386",,"1,3 tỷ",,,,False,2026-03-22 10:43:11,1300000000 ₫,Mua bán,Nội thất đầy đủ,,,Chung cư,,28.26087 tr/m²,Sổ hồng riêng,2 PN,46 m²,1
3521721,130111295,994745511,Tp Hồ Chí Minh,TP Hồ Chí Minh,Quận Tân Phú,Phường Hòa Thạnh,Phường Tân Phú,,Thoại Ngọc Hầu,Căn hộ/Chung cư,2 tuần trước,0,False,10.78196,106.63688,"10.78196,106.63688",,"2,2 tỷ",,,0,False,2026-03-14 14:59:02,2200000000 ₫,Mua bán,Nội thất đầy đủ,,,Chung cư,,36.666668 tr/m²,Hợp đồng mua bán,2 PN,60 m²,2
30389639,130113533,2114973795,Bình Dương,TP Hồ Chí Minh,Thành phố Thuận An,Phường Lái Thiêu,Phường Lái Thiêu,,Đại Lộ Bình Dương,Căn hộ/Chung cư,1 tuần trước,0,False,10.90971,106.71232,"10.90971,106.71232",,"2,2 tỷ",,,,False,2026-03-21 07:17:40,2200000000 ₫,Mua bán,,,,Chung cư,Đông,41.509434 tr/m²,Sổ hồng riêng,1 PN,53 m²,1
26654704,130115175,1745632414,Bình Dương,TP Hồ Chí Minh,Thành phố Thuận An,Phường Bình Hòa,Phường Bình Hòa,,Hữu Nghị,Căn hộ/Chung cư,5 ngày trước,0,False,10.92473,106.72363,"10.92473,106.72363",,"3,15 tỷ",,,0,False,2026-03-24 12:55:09,3150000000 ₫,Mua bán,Hoàn thiện cơ bản,,Bắc,Chung cư,Nam,39.873417 tr/m²,Hợp đồng mua bán,2 PN,79 m²,2
8896202,130116350,484386692,Bình Dương,TP Hồ Chí Minh,Thành phố Dĩ An,Phường An Bình,Phường Dĩ An,,An Bình,Căn hộ/Chung cư,hôm qua,0,False,10.87574,106.75495,"10.87574,106.75495",,"3,5 tỷ",,,,False,2026-03-28 17:38:09,3500000000 ₫,Mua bán,,,,Chung cư,,51.47059 tr/m²,Sổ hồng riêng,2 PN,68 m²,
20645408,130121517,2012441201,Tp Hồ Chí Minh,TP Hồ Chí Minh,Quận 1,Phường Đa Kao,Phường Tân Định,,Nguyễn Đình Chiểu,Căn hộ/Chung cư,3 tuần trước,0,False,10.78853,106.6996,"10.78853,106.6996",,"23,5 tỷ",,,0,False,2026-03-05 20:57:15,23500000000 ₫,Mua bán,Nội thất cao cấp,Căn góc,,Chung cư,,213.63637 tr/m²,Hợp đồng đặt cọc,3 PN,110 m²,3
1833717,130121776,1675720589,Tp Hồ Chí Minh,TP Hồ Chí Minh,Quận 7,Phường Phú Mỹ,Phường Tân Mỹ,,Đường 15B,Căn hộ/Chung cư,4 tuần trước,0,False,10.70316,106.73216,"10.70316,106.73216",,"2,6 tỷ",,,0,False,2026-03-02 10:52:49,2600000000 ₫,Mua bán,Nội thất đầy đủ,,,Chung cư,,52 tr/m²,Sổ hồng riêng,1 PN,50 m²,1
9904287,130122080,,Tp Hồ Chí Minh,TP Hồ Chí Minh,Quận 8,Phường 6,Phường Bình Đông,,Đường 266 Bùi Minh Trực,Căn hộ/Chung cư,5 ngày trước,0,True,10.738253,106.6544,"10.7382522,106.6543999",osm:W686381536,"2,2 tỷ",,,0,False,2026-03-24 14:03:08,2200000000 ₫,Mua bán,,Căn góc,Đông Nam,Chung cư,Tây Bắc,37.288136 tr/m²,Sổ hồng riêng,2 PN,59 m²,1
5542233,130126563,1442612090,Tp Hồ Chí Minh,TP Hồ Chí Minh,Huyện Bình Chánh,Thị trấn Tân Túc,Xã Tân Nhựt,,Tân Túc,Căn hộ/Chung cư,1 tuần trước,0,False,10.68684,106.58548,"10.68684,106.58548",,"4,45 tỷ",,,0,False,2026-03-19 12:19:43,4450000000 ₫,Mua bán,Nội thất cao cấp,,,Chung cư,,39.38053 tr/m²,Sổ hồng riêng,3 PN,113 m²,2
5542233,130126599,1442612090,Tp Hồ Chí Minh,TP Hồ Chí Minh,Huyện Bình Chánh,Thị trấn Tân Túc,Xã Tân Nhựt,,Tân Túc,Căn hộ/Chung cư,9 giờ trước,0,False,10.68684,106.58548,"10.68684,106.58548",,"2,65 tỷ",,,0,False,2026-03-29 12:57:02,2650000000 ₫,Mua bán,Nội thất cao cấp,,,Chung cư,Đông Nam,44.166668 tr/m²,Sổ hồng riêng,2 PN,60 m²,2
5542233,130126903,1442612090,Tp Hồ Chí Minh,TP Hồ Chí Minh,Huyện Bình Chánh,Thị trấn Tân Túc,Xã Tân Nhựt,,Tân Túc,Căn hộ/Chung cư,13 giờ trước,0,False,10.68684,106.58548,"10.68684,106.58548",,"2,75 tỷ",,,0,False,2026-03-29 09:06:33,2750000000 ₫,Mua bán,Nội thất cao cấp,,,Chung cư,,46.61017 tr/m²,Sổ hồng riêng,2 PN,59 m²,2
5542233,130127024,1442612090,Tp Hồ Chí Minh,TP Hồ Chí Minh,Huyện Bình Chánh,Thị trấn Tân Túc,Xã Tân Nhựt,,Tân Túc,Căn hộ/Chung cư,12 giờ trước,0,False,10.68684,106.58548,"10.68684,106.58548",,"2,7 tỷ",,,0,False,2026-03-29 09:46:35,2700000000 ₫,Mua bán,Nội thất cao cấp,,,Chung cư,,45.76271 tr/m²,Sổ hồng riêng,2 PN,59 m²,2
5542233,130127914,1442612090,Tp Hồ Chí Minh,TP Hồ Chí Minh,Huyện Bình Chánh,Thị trấn Tân Túc,Xã Tân Nhựt,,Tân Túc,Căn hộ/Chung cư,13 giờ trước,0,False,10.68684,106.58548,"10.68684,106.58548",,"3,53 tỷ",,,0,False,2026-03-29 09:26:34,3530000000 ₫,Mua bán,,,,Chung cư,Đông Nam,41.52941 tr/m²,Sổ hồng riêng,3 PN,85 m²,2
702228,130128870,1675681793,Tp Hồ Chí Minh,TP Hồ Chí Minh,Thành phố Thủ Đức,Phường An Phú (Quận 2 cũ),Phường Bình Trưng,,Nguyễn Thị Định,Căn hộ/Chung cư,4 tuần trước,0,False,10.79161,106.75348,"10.79161,106.75348",,"5,55 tỷ",,,,False,2026-03-02 10:28:04,5550000000 ₫,Mua bán,,,,Chung cư,,77.083336 tr/m²,Sổ hồng riêng,2 PN,72 m²,2
1043475,130129172,,Tp Hồ Chí Minh,TP Hồ Chí Minh,Quận 6,Phường 11,Phường Bình Phú,961,Đường Hậu Giang,Căn hộ/Chung cư,4 tuần trước,0,True,10.746743,106.62975,"10.7467428,106.6297515",osm:W1287998029,"4,099 tỷ",,,,False,2026-03-03 08:05:05,4099000000 ₫,Mua bán,,Căn góc,,Chung cư,Đông Bắc,40.99 tr/m²,Sổ hồng riêng,3 PN,100 m²,2
12801126,130129213,1675720589,Tp Hồ Chí Minh,TP Hồ Chí Minh,Quận 7,Phường Phú Mỹ,Phường Tân Mỹ,,Đường 15B,Căn hộ/Chung cư,3 tuần trước,0,False,10.70316,106.73216,"10.70316,106.73216",,"4,49 tỷ",,,0,False,2026-03-06 16:44:01,4490000000 ₫,Mua bán,Nội thất cao cấp,0,,Chung cư,,49.88889 tr/m²,Hợp đồng mua bán,2 PN,90 m²,2
423435,130129350,,Tp Hồ Chí Minh,TP Hồ Chí Minh,Quận Bình Thạnh,Phường 13,Phường Bình Lợi Trung,,Đường Nơ Trang Long,Căn hộ/Chung cư,14 giờ trước,0,True,10.818509,106.698944,"10.8185095,106.6989478",osm:W32928936,"2,55 tỷ",,,0,False,2026-03-29 08:31:54,2550000000 ₫,Mua bán,,0,,Chung cư,,63.75 tr/m²,Sổ hồng riêng,2 PN,40 m²,1
173535,130129602,47726729,Tp Hồ Chí Minh,TP Hồ Chí Minh,Quận Bình Tân,Phường Bình Trị Đông A,Phường Bình Trị Đông,819,Đường Hương Lộ 2,Căn hộ/Chung cư,2 ngày trước,0,False,10.770323,106.59671,"10.7703231,106.5967126",,"2,7 tỷ",,,0,False,2026-03-27 21:30:11,2700000000 ₫,Mua bán,Nội thất cao cấp,0,Tây Bắc,Chung cư,Đông Nam,38.57143 tr/m²,Hợp đồng mua bán,2 PN,70 m²,
2828692,130132098,1140222181,Tp Hồ Chí Minh,TP Hồ Chí Minh,Huyện Nhà Bè,Xã Phước Kiển,Xã Nhà Bè,,Nguyễn Hữu Thọ,Căn hộ/Chung cư,3 tuần trước,0,False,10.70387,106.71276,"10.70387,106.71276",,"6,2 tỷ",,,0,False,2026-03-05 17:43:53,6200000000 ₫,Mua bán,Nội thất cao cấp,,Đông,Chung cư,Đông Nam,74.69879 tr/m²,Sổ hồng riêng,2 PN,83 m²,1
5438135,130133445,1048125356,Bình Dương,TP Hồ Chí Minh,Thành phố Thủ Dầu Một,Phường Chánh Nghĩa,Phường Thủ Dầu Một,,Trần Phú,Căn hộ/Chung cư,3 tuần trước,0,False,10.97374,106.66504,"10.97374,106.66504",,"2,85 tỷ",,,0,False,2026-03-11 11:08:18,2850000000 ₫,Mua bán,Hoàn thiện cơ bản,Căn góc,,Chung cư,,29.081633 tr/m²,Sổ hồng riêng,3 PN,98 m²,2
423435,130137164,,Tp Hồ Chí Minh,TP Hồ Chí Minh,Quận Bình Thạnh,Phường 3,Phường Gia Định,,Đường Vũ Huy Tấn,Căn hộ/Chung cư,4 ngày trước,0,True,10.795791,106.69175,"10.7957902,106.6917516",osm:W1178245704,"2,995 tỷ",,,0,False,2026-03-26 08:23:25,2995000000 ₫,Mua bán,Nội thất đầy đủ,,,Chung cư,,68.068184 tr/m²,Sổ hồng riêng,2 PN,44 m²,1
23428807,130139791,2126592882,Tp Hồ Chí Minh,TP Hồ Chí Minh,Quận Gò Vấp,Phường 3,Phường Hạnh Thông,,Nguyễn Văn Công,Căn hộ/Chung cư,3 tuần trước,0,False,10.81993,106.67662,"10.81993,106.67662",,"4,8 tỷ",,,0,False,2026-03-05 13:39:05,4800000000 ₫,Mua bán,Nội thất đầy đủ,,,Chung cư,,69.565216 tr/m²,Sổ hồng riêng,2 PN,69 m²,1
12901161,130141534,659687081,Tp Hồ Chí Minh,TP Hồ Chí Minh,Quận 8,Phường 5,Phường Chánh Hưng,,Tạ Quang Bửu,Căn hộ/Chung cư,2 tuần trước,0,False,10.73445,106.66362,"10.73445,106.66362",,"4,35 tỷ",,,,False,2026-03-13 16:39:02,4350000000 ₫,Mua bán,,,,Chung cư,,53.048782 tr/m²,Sổ hồng riêng,2 PN,82 m²,2
26588,130144281,,Tp Hồ Chí Minh,TP Hồ Chí Minh,Quận Phú Nhuận,Phường 9,Phường Đức Nhuận,,Đường Trần Khắc Chân,Căn hộ/Chung cư,1 tuần trước,0,True,10.800374,106.677345,"10.8003741,106.6773416",osm:W941238525,"2,15 tỷ",,,0,False,2026-03-21 09:22:53,2150000000 ₫,Mua bán,Hoàn thiện cơ bản,,,"Tập thể, cư xá",,89.583336 tr/m²,Sổ hồng riêng,2 PN,24 m²,1
60054,130145118,173458713,Tp Hồ Chí Minh,TP Hồ Chí Minh,Quận 8,Phường 5,Phường Chánh Hưng,,Tạ Quang Bửu,Căn hộ/Chung cư,3 tuần trước,0,False,10.73445,106.66362,"10.73445,106.66362",,"3,7 tỷ",,,,False,2026-03-11 14:36:49,3700000000 ₫,Mua bán,,,,Chung cư,,69.81132 tr/m²,Hợp đồng mua bán,1 PN,53 m²,1
14133665,130148743,,Tp Hồ Chí Minh,TP Hồ Chí Minh,Huyện Bình Chánh,Xã An Phú Tây,Xã Bình Chánh,,Đường Nguyễn Văn Linh,Căn hộ/Chung cư,4 giờ trước,0,True,10.695796,106.61745,"10.6957964,106.6174467",osm:W1227136347,"1,05 tỷ",,,0,False,2026-03-29 18:16:25,1050000000 ₫,Mua bán,Hoàn thiện cơ bản,,,Chung cư,,17.5 tr/m²,Hợp đồng mua bán,2 PN,60 m²,2
9915344,130149844,331130052,Tp Hồ Chí Minh,TP Hồ Chí Minh,Quận 10,Phường 12,Phường Hòa Hưng,Số 181,Cao Thắng,Căn hộ/Chung cư,2 tuần trước,0,False,10.77479,106.67535,"10.77479,106.67535",,"1,88 tỷ",,,0,False,2026-03-16 11:47:19,1880000000 ₫,Mua bán,Nội thất đầy đủ,,,Officetel,,53.714287 tr/m²,Hợp đồng đặt cọc,1 PN,35 m²,1
18822090,130151531,,Tp Hồ Chí Minh,TP Hồ Chí Minh,Quận 7,Phường Phú Mỹ,Phường Tân Mỹ,,Đường Phạm Hữu Lầu,Căn hộ/Chung cư,1 tháng trước,0,True,10.704245,106.72961,"10.7042447,106.729607",osm:W32584000,"4,86 tỷ",,,,False,2026-02-23 09:17:24,4860000000 ₫,Mua bán,,,,Chung cư,,46.285713 tr/m²,Sổ hồng riêng,3 PN,105 m²,2
26916591,130154456,1610503737,Tp Hồ Chí Minh,TP Hồ Chí Minh,Quận 6,Phường 10,Phường Bình Phú,,Lý Chiêu Hoàng,Căn hộ/Chung cư,3 tuần trước,0,False,10.73783,106.62883,"10.73783,106.62883",,"2,39 tỷ",,,0,False,2026-03-06 11:07:17,2390000000 ₫,Mua bán,,,,Chung cư,,47.8 tr/m²,Hợp đồng mua bán,2 PN,50 m²,1
1625001,130154750,1860214211,Tp Hồ Chí Minh,TP Hồ Chí Minh,Quận 8,Phường 7,Phường Bình Đông,,Trịnh Quang Nghị,Căn hộ/Chung cư,3 tuần trước,0,False,10.70677,106.62474,"10.70677,106.62474",,"2,25 tỷ",,,0,False,2026-03-09 14:29:06,2250000000 ₫,Mua bán,Hoàn thiện cơ bản,,Tây Bắc,Chung cư,Đông Nam,43.26923 tr/m²,Hợp đồng mua bán,2 PN,52 m²,1
4084924,130155796,1675681793,Tp Hồ Chí Minh,TP Hồ Chí Minh,Thành phố Thủ Đức,Phường An Phú (Quận 2 cũ),Phường Bình Trưng,,Nguyễn Thị Định,Căn hộ/Chung cư,2 tuần trước,0,False,10.79161,106.75348,"10.79161,106.75348",,"8,199 tỷ",,,0,False,2026-03-14 11:54:56,8199000000 ₫,Mua bán,Hoàn thiện cơ bản,,,"Căn hộ dịch vụ, mini",,114.83193 tr/m²,Sổ hồng riêng,1 PN,71.4 m²,
12044156,130158763,,Bình Dương,TP Hồ Chí Minh,Thành phố Thuận An,Phường Lái Thiêu,Phường Lái Thiêu,,Quốc lộ 13,Căn hộ/Chung cư,2 ngày trước,0,False,10.904865,106.69996,"10.904865,106.6999563",,"3,134 tỷ",,,0,False,2026-03-27 17:20:58,3134000000 ₫,Mua bán,Hoàn thiện cơ bản,,,Chung cư,Đông Bắc,48.215385 tr/m²,Hợp đồng mua bán,2 PN,65 m²,2
18422133,130163681,575085018,Tp Hồ Chí Minh,TP Hồ Chí Minh,Thành phố Thủ Đức,Phường Hiệp Bình Chánh (Quận Thủ Đức cũ),Phường Hiệp Bình,Số 69,18,Căn hộ/Chung cư,hôm qua,0,False,10.83119,106.71838,"10.83119,106.71838",,"5,2 tỷ",,,0,False,2026-03-28 14:08:22,5200000000 ₫,Mua bán,Nội thất cao cấp,,,Chung cư,,57.77778 tr/m²,Sổ hồng riêng,3 PN,90 m²,2
23779765,130166861,335239605,Tp Hồ Chí Minh,TP Hồ Chí Minh,Quận 1,Phường Bến Nghé,Phường Sài Gòn,,Tôn Đức Thắng,Căn hộ/Chung cư,2 tuần trước,0,False,10.78584,106.70952,"10.78584,106.70952",,47 tỷ,,,0,False,2026-03-12 12:06:32,47000000000 ₫,Mua bán,,,,Chung cư,,291.92548 tr/m²,Sổ hồng riêng,3 PN,161 m²,3
23779765,130167176,2023241925,Tp Hồ Chí Minh,TP Hồ Chí Minh,Thành phố Thủ Đức,Phường Long Thạnh Mỹ (Quận 9 cũ),Phường Long Bình,,Nguyễn Xiển,Căn hộ/Chung cư,3 ngày trước,0,False,10.8454,106.81972,"10.8454,106.81972",,"3,5 tỷ",,,0,False,2026-03-26 20:30:39,3500000000 ₫,Mua bán,Hoàn thiện cơ bản,,,Chung cư,,58.333332 tr/m²,Sổ hồng riêng,2 PN,60 m²,2
19027536,130167428,2109257051,Tp Hồ Chí Minh,TP Hồ Chí Minh,Quận Tân Phú,Phường Tân Thành,Phường Phú Thọ Hòa,Số 685,Âu Cơ,Căn hộ/Chung cư,3 tuần trước,0,False,10.78972,106.64026,"10.78972,106.64026",,"5,5 tỷ",,,,False,2026-03-10 08:18:41,5500000000 ₫,Mua bán,,,,Chung cư,,51.88679 tr/m²,Sổ hồng riêng,3 PN,106 m²,2
22705799,130168175,,Tp Hồ Chí Minh,TP Hồ Chí Minh,Quận Tân Phú,Phường Tân Quý,Phường Tân Sơn Nhì,,Đường Võ Công Tồn,Căn hộ/Chung cư,4 tuần trước,0,True,10.7912655,106.62182,"10.7912651,106.621821",osm:W256404557,"2,45 tỷ",,,,False,2026-02-27 22:43:06,2450000000 ₫,Mua bán,,,,Chung cư,,32.666668 tr/m²,Sổ hồng riêng,2 PN,75 m²,1
3665441,130168792,987630212,Tp Hồ Chí Minh,TP Hồ Chí Minh,Thành phố Thủ Đức,Phường An Phú (Quận 2 cũ),Phường Bình Trưng,,Đường Song Hành,Căn hộ/Chung cư,6 giờ trước,0,True,10.800222,106.73834,"10.8002226,106.7383425",osm:W817272768,"5,4 tỷ",,,0,False,2026-03-29 16:15:01,5400000000 ₫,Mua bán,Hoàn thiện cơ bản,Căn góc,Đông Nam,Chung cư,Tây Nam,61.363636 tr/m²,Sổ hồng riêng,2 PN,88 m²,2
3665441,130169133,987630212,Tp Hồ Chí Minh,TP Hồ Chí Minh,Quận Bình Thạnh,Phường 25,Phường Thạnh Mỹ Tây,86,tân cảng,Căn hộ/Chung cư,5 giờ trước,0,False,10.804097,106.715385,"10.8040973,106.7153875",,"5,4 tỷ",,,0,False,2026-03-29 16:34:58,5400000000 ₫,Mua bán,Nội thất đầy đủ,,Tây Bắc,Chung cư,Đông Nam,67.5 tr/m²,Sổ hồng riêng,2 PN,80 m²,1
17121609,130169626,,Tp Hồ Chí Minh,TP Hồ Chí Minh,Quận Bình Tân,Phường Bình Trị Đông B,Phường An Lạc,,Đường số 1,Căn hộ/Chung cư,hôm qua,0,True,10.748422,106.618355,"10.7484218,106.6183575",osm:W169081588,"2,38 tỷ",,,0,False,2026-03-28 14:02:28,2380000000 ₫,Mua bán,,,,Chung cư,,46.666668 tr/m²,Sổ hồng riêng,2 PN,51 m²,1
9624884,130170998,710332116,Tp Hồ Chí Minh,TP Hồ Chí Minh,Quận Bình Tân,Phường An Lạc,Phường An Lạc,,Hồ Học Lãm,Căn hộ/Chung cư,hôm qua,0,False,10.72149,106.61147,"10.72149,106.61147",,"2,85 tỷ",,,0,False,2026-03-28 15:47:09,2850000000 ₫,Mua bán,,,,Chung cư,,42.53731 tr/m²,Sổ hồng riêng,2 PN,67 m²,2
2520236,130172414,,Tp Hồ Chí Minh,TP Hồ Chí Minh,Quận 8,Phường 7,Phường Bình Đông,,Đường Nguyễn Văn Linh,Căn hộ/Chung cư,7 giờ trước,0,True,10.69799,106.624985,"10.6979903,106.6249881",osm:W182599869,"1,1 tỷ",,,0,False,2026-03-29 14:50:00,1100000000 ₫,Mua bán,,0,,Chung cư,,20 tr/m²,Sổ hồng riêng,2 PN,55 m²,2
12802067,130173099,1888009315,Tp Hồ Chí Minh,TP Hồ Chí Minh,Huyện Nhà Bè,Xã Phước Kiển,Xã Nhà Bè,Số 928,Lê Văn Lương,Căn hộ/Chung cư,1 tuần trước,0,False,10.69937,106.7045,"10.69937,106.7045",,"3,2 tỷ",,,,False,2026-03-20 12:10:43,3200000000 ₫,Mua bán,,,,Chung cư,Nam,38.095238 tr/m²,Sổ hồng riêng,2 PN,84 m²,2
1625001,130176199,1860214211,Tp Hồ Chí Minh,TP Hồ Chí Minh,Quận 8,Phường 7,Phường Bình Đông,,Trịnh Quang Nghị,Căn hộ/Chung cư,2 tuần trước,0,False,10.70677,106.62474,"10.70677,106.62474",,"2,35 tỷ",,,0,False,2026-03-13 07:54:42,2350000000 ₫,Mua bán,Hoàn thiện cơ bản,,Tây Bắc,Chung cư,Đông Nam,45.192307 tr/m²,Hợp đồng mua bán,2 PN,52 m²,1
27374816,130178843,,Bình Dương,TP Hồ Chí Minh,Thành phố Thuận An,Phường Thuận Giao,Phường Thuận Giao,,quốc lộ 13,Căn hộ/Chung cư,10 giờ trước,0,False,10.957153,106.71757,"10.9571535,106.7175669",,"1,3 tỷ",,,0,False,2026-03-29 11:50:19,1300000000 ₫,Mua bán,Nội thất cao cấp,,,Chung cư,,38.235294 tr/m²,Hợp đồng mua bán,1 PN,34 m²,
27374816,130178977,,Bình Dương,TP Hồ Chí Minh,Thành phố Thuận An,Phường Thuận Giao,Phường Thuận Giao,,nguyễn chí thanh,Căn hộ/Chung cư,1 tuần trước,0,False,10.957153,106.71757,"10.9571535,106.7175669",,"1,39 tỷ",,,0,False,2026-03-22 14:54:02,1390000000 ₫,Mua bán,,,,Chung cư,,35.641026 tr/m²,Hợp đồng mua bán,1 PN,39 m²,1
