Mã người đăng,Mã bài đăng,Mã dự án,Tỉnh/Thành phố cũ,Tỉnh/Thành phố mới,Huyện/Quận cũ,Phường/Xã cũ,Phường mới,Số nhà,Đường,Loại hình,Cập nhât lần cuối,Số tầng,Có hướng ra đường,Vĩ độ,Kinh độ,Tọa độ,Tọa độ ID,Giá (chữ),Chiều dài,Chiều rộng,Mức độ quảng cáo,Đăng bởi Đối tác,Ngày đăng,Giá bán,Hình thức,Hướng đất,Diện tích,Loại hình đất,Đơn giá (tr/m2),Giấy tờ pháp lý,Đặc điểm nhà/đất
20763836,129910212,,Tp Hồ Chí Minh,TP Hồ Chí Minh,Huyện Hóc Môn,Xã Thới Tam Thôn,Xã Đông Thạnh,,Mặt Tiền Đường Phùng Thị Chuyện,Đất,1 tuần trước,0,False,10.897606,106.61145,"10.8976059,106.6114474",,"7,3 tỷ",26 m2,8.6997 m2,0,False,2026-03-21 08:48:11,7300000000 ₫,Mua bán,Tây,226.1999 m²,Đất thổ cư,32.27234 tr/m²,Đã có sổ,Mặt tiền;Nở hậu
27792073,129911036,,Tp Hồ Chí Minh,TP Hồ Chí Minh,Huyện Nhà Bè,Xã Long Thới,Xã Hiệp Phước,,Đường Nguyễn Văn Tạo,Đất,3 tuần trước,0,True,10.667207,106.72492,"10.6672066,106.7249255",osm:W1272035161,"4,2 tỷ",22 m2,7 m2,0,False,2026-03-08 16:22:06,4200000000 ₫,Mua bán,Đông,153 m²,Đất thổ cư,27.450981 tr/m²,Đã có sổ,Hẻm xe hơi
27821243,129912666,,Tp Hồ Chí Minh,TP Hồ Chí Minh,Huyện Củ Chi,Xã Tân Thạnh Đông,Xã Phú Hòa Đông,,Đường Nguyễn Kim Cương,Đất,6 ngày trước,0,True,10.969897,106.575935,"10.9698977,106.5759334",osm:W32586088,750 triệu,25 m2,6 m2,0,False,2026-03-24 11:21:13,750000000 ₫,Mua bán,,149 m²,Đất thổ cư,5.033557 tr/m²,Đã có sổ,Thổ cư toàn bộ;Hẻm xe hơi
27427388,129912926,,Bà Rịa - Vũng Tàu,TP Hồ Chí Minh,Huyện Đất Đỏ,Xã Láng Dài,Xã Đất Đỏ,,Khác,Đất,3 tuần trước,0,False,10.524952,107.3494,"10.5249522,107.3494043",,"6,4 tỷ",45.5 m2,10 m2,0,False,2026-03-07 21:36:40,6400000000 ₫,Mua bán,,455 m²,Đất thổ cư,14.065934 tr/m²,Đã có sổ,Mặt tiền;Thổ cư 1 phần
28235552,129913975,,Tp Hồ Chí Minh,TP Hồ Chí Minh,Quận 12,Phường Thạnh Xuân,Phường Thới An,,Đường Thạnh Xuân 25,Đất,1 tuần trước,0,True,10.879796,106.66933,"10.8797957,106.6693296",osm:W705429621,3 tỷ,17.5 m2,8 m2,,False,2026-03-20 14:09:34,3000000000 ₫,Mua bán,,140 m²,Đất thổ cư,21.428572 tr/m²,Đã có sổ,Hẻm xe hơi;Mặt tiền;Nở hậu
26896805,129914771,,Tp Hồ Chí Minh,TP Hồ Chí Minh,Thành phố Thủ Đức,Phường Trường Thạnh (Quận 9 cũ),Phường Long Phước,,Số,Đất,3 tuần trước,0,False,10.8263035,106.80913,"10.8263037,106.8091249",,"7,35 tỷ",20.5 m2,5 m2,0,False,2026-03-06 14:01:12,7350000000 ₫,Mua bán,,102.5 m²,Đất thổ cư,71.70731 tr/m²,Đã có sổ,
2052142,129915987,,Tp Hồ Chí Minh,TP Hồ Chí Minh,Huyện Nhà Bè,Thị trấn Nhà Bè,Xã Nhà Bè,,Đường Huỳnh Tấn Phát,Đất,1 tuần trước,0,True,10.702101,106.73821,"10.702101,106.7382106",osm:W1257327393,"4,1 tỷ",22 m2,5 m2,0,False,2026-03-23 00:16:58,4100000000 ₫,Mua bán,,106 m²,Đất thổ cư,38.679245 tr/m²,Đã có sổ,Chưa có thổ cư
17179046,129918266,,Tp Hồ Chí Minh,TP Hồ Chí Minh,Quận Bình Thạnh,Phường 25,Phường Thạnh Mỹ Tây,,Đường D2,Đất,2 tuần trước,0,True,10.809588,106.7177,"10.8095884,106.7176984",osm:W32575795,"9,7 tỷ",13 m2,6.5999 m2,0,False,2026-03-17 13:59:03,9700000000 ₫,Mua bán,,83 m²,Đất thổ cư,116.86747 tr/m²,Đã có sổ,Hẻm xe hơi;Nở hậu
1242819,129919641,,Bình Dương,TP Hồ Chí Minh,Thị xã Bến Cát,Phường Hòa Lợi,Phường Hòa Lợi,,đuong d5,Đất,2 tuần trước,0,False,11.112711,106.670395,"11.1127106,106.6703963",,21 tỷ,69 m2,37 m2,,False,2026-03-18 09:05:52,21000000000 ₫,Mua bán,,2597 m²,Đất thổ cư,8.086253 tr/m²,Đã có sổ,Thổ cư 1 phần;Mặt tiền;Hẻm xe hơi
9240116,129919931,,Bình Dương,TP Hồ Chí Minh,Thành phố Dĩ An,Phường Tân Bình,Phường Tân Đông Hiệp,,Đường Nguyễn Thị Tươi,Đất,2 tuần trước,0,True,10.945784,106.75671,"10.9457833,106.756709",osm:W836140470,"3,5 tỷ",30 m2,6 m2,0,False,2026-03-18 10:59:31,3500000000 ₫,Mua bán,,175 m²,Đất thổ cư,20 tr/m²,Đã có sổ,Mặt tiền
30366706,129922847,,Tp Hồ Chí Minh,TP Hồ Chí Minh,Huyện Củ Chi,Xã Phú Hòa Đông,Xã Phú Hòa Đông,,Tỉnh lộ 15,Đất,4 tuần trước,0,False,11.045645,106.5475,"11.0456444,106.5474997",,"2,5 tỷ",,,0,False,2026-03-05 13:28:46,2500000000 ₫,Mua bán,,642 m²,Đất nông nghiệp,3.894081 tr/m²,Đã có sổ,
28687038,129923854,,Tp Hồ Chí Minh,TP Hồ Chí Minh,Quận 12,Phường Hiệp Thành,Phường Tân Thới Hiệp,,Đường Hiệp Thành 13,Đất,4 tuần trước,0,True,10.884513,106.637314,"10.8845133,106.6373149",osm:W208937402,"3,54 tỷ",13.6 m2,5 m2,0,False,2026-03-01 15:15:21,3540000000 ₫,Mua bán,Đông Nam,69 m²,Đất thổ cư,51.304348 tr/m²,Đã có sổ,Thổ cư toàn bộ
27427388,129925278,,Bà Rịa - Vũng Tàu,TP Hồ Chí Minh,Huyện Xuyên Mộc,Xã Phước Thuận,Xã Hồ Tràm,,Khác,Đất,3 tuần trước,0,False,10.479,107.39671,"10.4790005,107.3967105",,15 tỷ,43 m2,15 m2,0,False,2026-03-07 21:37:36,15000000000 ₫,Mua bán,,652 m²,Đất thổ cư,23.006134 tr/m²,Đã có sổ,Mặt tiền;Thổ cư 1 phần
27427388,129925695,,Bà Rịa - Vũng Tàu,TP Hồ Chí Minh,Huyện Xuyên Mộc,Xã Phước Thuận,Xã Hồ Tràm,,Khác,Đất,3 tuần trước,0,False,10.479,107.39671,"10.4790005,107.3967105",,"14,7 tỷ",40 m2,15 m2,0,False,2026-03-07 21:38:12,14700000000 ₫,Mua bán,,600 m²,Đất thổ cư,24.5 tr/m²,Đã có sổ,Thổ cư 1 phần;Mặt tiền
4572622,129927914,,Bình Dương,TP Hồ Chí Minh,Thành phố Dĩ An,Phường Tân Bình,Phường Tân Đông Hiệp,,Đường Nguyễn Thị Tươi,Đất,hôm qua,0,True,10.945784,106.75671,"10.9457833,106.756709",osm:W836140470,"3,5 tỷ",,6 m2,0,True,2026-03-30 07:17:49,3500000000 ₫,Mua bán,,174 m²,Đất thổ cư,20.114943 tr/m²,Đã có sổ,Hẻm xe hơi
4575674,129928013,,Bình Dương,TP Hồ Chí Minh,Thành phố Dĩ An,Phường Dĩ An,Phường Dĩ An,,Đường Nguyễn Văn Trỗi,Đất,2 ngày trước,0,True,10.908432,106.76932,"10.908432,106.7693212",osm:W291180577,"4,35 tỷ",,4 m2,0,True,2026-03-27 19:16:37,4350000000 ₫,Mua bán,,100 m²,Đất thổ cư,43.5 tr/m²,Đã có sổ,Mặt tiền
30059952,129929617,,Tp Hồ Chí Minh,TP Hồ Chí Minh,Quận 12,Phường Thới An,Phường Thới An,,Đường Trần Thị Cờ,Đất,hôm qua,0,True,10.874436,106.65103,"10.8744361,106.6510313",osm:W215342875,"4,55 tỷ",15 m2,4 m2,0,False,2026-03-28 09:20:04,4550000000 ₫,Mua bán,Bắc,57.4 m²,Đất thổ cư,79.268295 tr/m²,Đã có sổ,Hẻm xe hơi
12935754,129930001,,Tp Hồ Chí Minh,TP Hồ Chí Minh,Huyện Bình Chánh,Xã Vĩnh Lộc B,Xã Tân Vĩnh Lộc,,Đường Võ Văn Vân,Đất,3 ngày trước,0,True,10.784873,106.57466,"10.7848734,106.5746585",osm:W605467966,"25,99 tỷ",41 m2,41 m2,,False,2026-03-27 13:30:12,25990000000 ₫,Mua bán,Tây,1500 m²,Đất thổ cư,17.326666 tr/m²,Đã có sổ,Mặt tiền;Hẻm xe hơi;Nở hậu;Thổ cư 1 phần
11850066,129930236,1960067254,Tp Hồ Chí Minh,TP Hồ Chí Minh,Huyện Nhà Bè,Xã Phước Kiển,Xã Nhà Bè,,Phước Kiển,Đất,2 tuần trước,0,False,10.68945,106.70262,"10.68945,106.70262",,"14,5 tỷ",18 m2,9.3 m2,,True,2026-03-14 21:35:20,14500000000 ₫,Mua bán,,170 m²,Đất thổ cư,85.29412 tr/m²,Đã có sổ,Mặt tiền
4575674,129933138,,Bình Dương,TP Hồ Chí Minh,Thành phố Dĩ An,Phường Tân Đông Hiệp,Phường Tân Đông Hiệp,,Bùi Thì Cội,Đất,3 ngày trước,0,False,10.917414,106.76861,"10.9174137,106.76861",,"5,2 tỷ",,8 m2,0,True,2026-03-27 15:06:24,5200000000 ₫,Mua bán,,155 m²,Đất thổ cư,33.548386 tr/m²,Đã có sổ,Mặt tiền
30315139,129933732,,Tp Hồ Chí Minh,TP Hồ Chí Minh,Huyện Củ Chi,Xã Tân Phú Trung,Xã Củ Chi,,Đường Hồ Văn Tắng,Đất,7 giờ trước,0,True,10.940278,106.54158,"10.9402784,106.5415805",osm:W32577826,"1,25 tỷ",25 m2,5 m2,0,False,2026-03-29 21:34:25,1250000000 ₫,Mua bán,,125 m²,Đất thổ cư,10 tr/m²,Đã có sổ,
145857,129934910,,Tp Hồ Chí Minh,TP Hồ Chí Minh,Thành phố Thủ Đức,Phường Phước Long A (Quận 9 cũ),Phường Phước Long,,Đường Số 14,Đất,2 tuần trước,0,True,10.811096,106.77046,"10.8110959,106.7704632",osm:W32586097,73 tỷ,53 m2,19 m2,0,False,2026-03-16 13:57:01,73000000000 ₫,Mua bán,,1000 m²,Đất thổ cư,73 tr/m²,Đã có sổ,Mặt tiền
10101896,129934960,,Tp Hồ Chí Minh,TP Hồ Chí Minh,Quận 12,Phường Thạnh Xuân,Phường Thới An,,Đường Hà Huy Giáp,Đất,2 tuần trước,0,True,10.872191,106.67686,"10.8721914,106.676858",osm:W33238056,"7,6 tỷ",21 m2,4.5 m2,0,False,2026-03-14 13:08:04,7600000000 ₫,Mua bán,,96 m²,Đất thổ cư,79.166664 tr/m²,Đã có sổ,Mặt tiền
22772591,129936556,,Tp Hồ Chí Minh,TP Hồ Chí Minh,Quận 7,Phường Bình Thuận,Phường Tân Thuận,,Đường Số 37,Đất,7 ngày trước,0,True,10.744413,106.715965,"10.7444136,106.7159625",osm:W1296261774,15 tỷ,18 m2,5 m2,,False,2026-03-23 11:24:33,15000000000 ₫,Mua bán,Nam,72.5998 m²,Đất thổ cư,206.61214 tr/m²,Đã có sổ,Mặt tiền
24528867,129938465,,Tp Hồ Chí Minh,TP Hồ Chí Minh,Thành phố Thủ Đức,Phường Long Phước (Quận 9 cũ),Phường Long Phước,,Đường Long Phước,Đất,3 tuần trước,0,True,10.801833,106.85854,"10.8018332,106.85854",osm:W32899378,"7,9 tỷ",29 m2,7.5998 m2,0,False,2026-03-07 13:13:04,7900000000 ₫,Mua bán,,220 m²,Đất thổ cư,35.909092 tr/m²,Đã có sổ,Hẻm xe hơi
4575674,129939635,,Bình Dương,TP Hồ Chí Minh,Thành phố Dĩ An,Phường Đông Hòa,Phường Đông Hòa,,Đường Đông Minh,Đất,hôm qua,0,True,10.900233,106.77165,"10.9002332,106.7716516",osm:W291552694,"5,7 tỷ",,4.0998 m2,0,True,2026-03-28 05:45:27,5700000000 ₫,Mua bán,,134 m²,Đất thổ cư,42.53731 tr/m²,Đã có sổ,Mặt tiền
28790218,129940249,,Tp Hồ Chí Minh,TP Hồ Chí Minh,Huyện Củ Chi,Thị trấn Củ Chi,Xã Tân An Hội,,Đường Nguyễn Thị Rư,Đất,3 ngày trước,0,True,10.980009,106.494225,"10.9800092,106.4942238",osm:W32575921,"1,79 tỷ",68 m2,5 m2,,False,2026-03-27 13:06:05,1790000000 ₫,Mua bán,,339 m²,Đất thổ cư,5.280236 tr/m²,Đã có sổ,Mặt tiền;Nở hậu
5337393,129940271,,Bình Dương,TP Hồ Chí Minh,Thành phố Thủ Dầu Một,Phường Định Hoà,Phường Chánh Hiệp,,1/ Sẹc Quốc Lộ 13 Vào Tới Đất,Đất,20 giờ trước,0,False,11.028857,106.655655,"11.0288573,106.6556575",,"1,85 tỷ",25 m2,5 m2,0,False,2026-03-29 09:22:10,1850000000 ₫,Mua bán,Tây Bắc,125 m²,Đất thổ cư,14.8 tr/m²,Đã có sổ,Hẻm xe hơi;Thổ cư 1 phần
23851582,129940487,,Bà Rịa - Vũng Tàu,TP Hồ Chí Minh,Huyện Xuyên Mộc,Xã Phước Tân,Xã Hồ Tràm,,phước tân,Đất,4 ngày trước,0,False,10.572217,107.36711,"10.5722168,107.3671095",,"1,8 tỷ",26 m2,10 m2,0,False,2026-03-26 15:43:02,1800000000 ₫,Mua bán,,249 m²,Đất thổ cư,7.2289157 tr/m²,Đã có sổ,Mặt tiền;Nở hậu
28687038,129943023,,Tp Hồ Chí Minh,TP Hồ Chí Minh,Huyện Hóc Môn,Xã Đông Thạnh,Xã Đông Thạnh,,Đường Bùi Công Trừng,Đất,4 tuần trước,0,True,10.908426,106.65049,"10.9084264,106.6504911",osm:W32902703,"3,35 tỷ",,,0,False,2026-03-01 15:13:05,3350000000 ₫,Mua bán,Đông Bắc,145 m²,Đất thổ cư,23.103449 tr/m²,Đã có sổ,Hẻm xe hơi;Nở hậu;Thổ cư toàn bộ
27427388,129944420,,Bà Rịa - Vũng Tàu,TP Hồ Chí Minh,Huyện Đất Đỏ,Xã Láng Dài,Xã Đất Đỏ,,Khác,Đất,3 tuần trước,0,False,10.524952,107.3494,"10.5249522,107.3494043",,"5,7 tỷ",42 m2,10 m2,0,False,2026-03-10 19:14:50,5700000000 ₫,Mua bán,,420 m²,Đất thổ cư,13.571428 tr/m²,Đã có sổ,Mặt tiền;Thổ cư 1 phần
29336072,129945502,,Tp Hồ Chí Minh,TP Hồ Chí Minh,Quận Bình Tân,Phường Bình Hưng Hòa,Phường Bình Hưng Hòa,,Đường Lê Trọng Tấn,Đất,12 giờ trước,0,True,10.816278,106.60101,"10.8162788,106.6010138",osm:W705104368,"3,5 tỷ",15 m2,4 m2,0,False,2026-03-29 16:59:03,3500000000 ₫,Mua bán,,60 m²,Đất thổ cư,58.333332 tr/m²,Đã có sổ,Hẻm xe hơi;Thổ cư toàn bộ
18321143,129946073,,Bà Rịa - Vũng Tàu,TP Hồ Chí Minh,Huyện Đất Đỏ,Xã Phước Long Thọ,Xã Đất Đỏ,,Nguyễn huệ,Đất,hôm qua,0,False,10.505942,107.30211,"10.5059422,107.3021069",,"2,65 tỷ",50 m2,10 m2,0,False,2026-03-30 09:21:07,2650000000 ₫,Mua bán,,500 m²,Đất thổ cư,5.3 tr/m²,Đã có sổ,Mặt tiền
4575674,129946120,,Bình Dương,TP Hồ Chí Minh,Thành phố Thuận An,Phường An Phú,Phường An Phú,,Đường Lê Thị Trung,Đất,hôm qua,0,True,10.964238,106.72919,"10.9642385,106.7291881",osm:W146051953,"2,69 tỷ",15 m2,5 m2,0,True,2026-03-28 20:08:00,2690000000 ₫,Mua bán,,75 m²,Đất thổ cư,35.866665 tr/m²,Đã có sổ,Hẻm xe hơi
5068235,129947727,,Tp Hồ Chí Minh,TP Hồ Chí Minh,Huyện Nhà Bè,Xã Long Thới,Xã Hiệp Phước,,Hẻm 126 Đường Nguyễn Văn Tạo,Đất,6 ngày trước,0,False,10.6637125,106.7245,"10.6637124,106.7245029",osm:W610990587,"6,975 tỷ",22.5 m2,10 m2,0,False,2026-03-24 13:04:08,6975000000 ₫,Mua bán,,225 m²,Đất thổ cư,31 tr/m²,Đã có sổ,
1251390,129949303,,Tp Hồ Chí Minh,TP Hồ Chí Minh,Huyện Nhà Bè,Xã Phước Kiển,Xã Nhà Bè,786,Đường Lê Văn Lương,Đất,4 ngày trước,0,True,10.69601,106.704796,"10.6960098,106.7047924",osm:W775855897,"6,6 tỷ",16.7299 m2,6 m2,0,False,2026-03-26 14:10:04,6600000000 ₫,Mua bán,Nam,96.5 m²,Đất thổ cư,68.39378 tr/m²,Đã có sổ,Thổ cư toàn bộ
10061355,129950571,,Tp Hồ Chí Minh,TP Hồ Chí Minh,Huyện Củ Chi,Xã Tân Phú Trung,Xã Củ Chi,,Đường Nguyễn Thị Lắng,Đất,2 tuần trước,0,True,10.946723,106.55245,"10.9467233,106.5524523",osm:W32586169,"2,55 tỷ",,,0,False,2026-03-13 16:25:03,2550000000 ₫,Mua bán,,250 m²,Đất thổ cư,10.2 tr/m²,Đã có sổ,
21696912,129951708,,Tp Hồ Chí Minh,TP Hồ Chí Minh,Quận 12,Phường Thạnh Lộc,Phường An Phú Đông,,Đường Thạnh Lộc 41,Đất,4 ngày trước,0,True,10.881563,106.685715,"10.8815629,106.6857111",osm:W322875681,"6,5 tỷ",22.5 m2,7 m2,0,False,2026-03-26 07:48:58,6500000000 ₫,Mua bán,,158 m²,Đất thổ cư,41.13924 tr/m²,Đã có sổ,Mặt tiền;Hẻm xe hơi
9200716,129953131,,Tp Hồ Chí Minh,TP Hồ Chí Minh,Huyện Củ Chi,Xã Nhuận Đức,Xã Nhuận Đức,,502,Đất,4 tuần trước,0,False,11.046116,106.4936,"11.0461163,106.493598",,"2,3 tỷ",50 m2,6 m2,,False,2026-03-01 13:03:37,2300000000 ₫,Mua bán,,300 m²,Đất thổ cư,7.6666665 tr/m²,Đã có sổ,Thổ cư toàn bộ;Mặt tiền
4419091,129953286,,Bình Dương,TP Hồ Chí Minh,Thành phố Thuận An,Phường An Thạnh,Phường Thuận An,,Đường An Thạnh 24,Đất,2 tuần trước,0,True,10.951096,106.6675,"10.9510956,106.6675026",osm:W368395248,"2,8 tỷ",,,0,False,2026-03-15 17:16:15,2800000000 ₫,Mua bán,,103 m²,Đất thổ cư,27.184465 tr/m²,Đã có sổ,Hẻm xe hơi
26131270,129954587,,Tp Hồ Chí Minh,TP Hồ Chí Minh,Quận 12,Phường Tân Thới Hiệp,Phường Tân Thới Hiệp,,Đường Nguyễn Thị Đặng,Đất,3 ngày trước,0,True,10.865506,106.64093,"10.8655059,106.6409274",osm:W1154432511,"4,6 tỷ",23 m2,4 m2,0,False,2026-03-27 10:17:15,4600000000 ₫,Mua bán,,92 m²,Đất thổ cư,50 tr/m²,Đã có sổ,Hẻm xe hơi
3849308,129956304,,Tp Hồ Chí Minh,TP Hồ Chí Minh,Huyện Củ Chi,Xã Phú Hòa Đông,Xã Phú Hòa Đông,,Đường Phạm Văn Cội,Đất,7 ngày trước,0,True,11.01035,106.53392,"11.0103503,106.533923",osm:W193321941,"4,3 tỷ",35 m2,15 m2,,False,2026-03-23 12:15:46,4300000000 ₫,Mua bán,,523 m²,Đất thổ cư,8.221797 tr/m²,Đã có sổ,Mặt tiền
19255543,129957076,,Bình Dương,TP Hồ Chí Minh,Thành phố Thuận An,Phường Bình Nhâm,Phường Lái Thiêu,,Đường Cmt8,Đất,4 tuần trước,0,False,10.92375,106.69276,"10.9237502,106.6927548",,"6,75 tỷ",26.6 m2,5.3 m2,,False,2026-02-28 19:01:40,6750000000 ₫,Mua bán,Đông Bắc,149 m²,Đất thổ cư,45.302013 tr/m²,Đã có sổ,Mặt tiền;Nở hậu
4360943,129959179,,Tp Hồ Chí Minh,TP Hồ Chí Minh,Thành phố Thủ Đức,Phường Bình Trưng Đông (Quận 2 cũ),Phường Bình Trưng,,Đường Nguyễn Duy Trinh,Đất,2 tuần trước,0,True,10.788776,106.7779,"10.7887766,106.7778996",osm:W822091005,28 tỷ,29 m2,10 m2,0,False,2026-03-19 16:41:09,28000000000 ₫,Mua bán,,290 m²,Đất thổ cư,96.55173 tr/m²,Đã có sổ,Thổ cư toàn bộ
1523531,129959680,,Tp Hồ Chí Minh,TP Hồ Chí Minh,Huyện Củ Chi,Xã An Nhơn Tây,Xã An Nhơn Tây,,Đường Gót Chàng,Đất,7 ngày trước,0,True,11.055569,106.493706,"11.0555688,106.4937063",osm:W622250590,7 tỷ,,,0,False,2026-03-23 16:57:04,7000000000 ₫,Mua bán,,7500 m²,Đất thổ cư,0.93333334 tr/m²,Đã có sổ,Hẻm xe hơi
2952617,129961862,,Tp Hồ Chí Minh,TP Hồ Chí Minh,Huyện Củ Chi,Xã Thái Mỹ,Xã Thái Mỹ,,Trương Thị Kiện,Đất,2 tuần trước,0,False,10.98575,106.39937,"10.9857505,106.3993658",,"1,98 tỷ",,,0,False,2026-03-14 19:05:36,1980000000 ₫,Mua bán,Đông,198 m²,Đất thổ cư,10 tr/m²,Đã có sổ,Mặt tiền
13166727,129962817,,Tp Hồ Chí Minh,TP Hồ Chí Minh,Thành phố Thủ Đức,Phường Linh Chiểu (Quận Thủ Đức cũ),Phường Thủ Đức,,Huỳnh Văn Nghệ,Đất,5 ngày trước,0,False,10.852377,106.763275,"10.8523767,106.763273",,"1,4 tỷ",25 m2,5 m2,,False,2026-03-25 13:30:10,1400000000 ₫,Mua bán,,125 m²,Đất thổ cư,11.2 tr/m²,Đã có sổ,Thổ cư toàn bộ
28727933,129962822,,Tp Hồ Chí Minh,TP Hồ Chí Minh,Quận 12,Phường Tân Thới Nhất,Phường Đông Hưng Thuận,,Đường Phan Văn Hớn,Đất,hôm qua,0,True,10.827228,106.625175,"10.8272273,106.6251763",osm:W1266119103,"9,99 tỷ",,7 m2,0,False,2026-03-28 10:52:26,9990000000 ₫,Mua bán,,105 m²,Đất thổ cư,95.14286 tr/m²,Đã có sổ,Hẻm xe hơi;Nở hậu;Mặt tiền
15556130,129964295,,Tp Hồ Chí Minh,TP Hồ Chí Minh,Huyện Bình Chánh,Xã Hưng Long,Xã Hưng Long,,Tân Liễu,Đất,hôm qua,0,False,10.668168,106.62324,"10.6681681,106.6232359",,13 tỷ,38.5 m2,60 m2,0,False,2026-03-28 15:30:42,13000000000 ₫,Mua bán,,2300 m²,Đất thổ cư,5.652174 tr/m²,Đã có sổ,Hẻm xe hơi;Thổ cư 1 phần
13166727,129964953,,Tp Hồ Chí Minh,TP Hồ Chí Minh,Thành phố Thủ Đức,Phường Bình Thọ (Quận Thủ Đức cũ),Phường Thủ Đức,,Huỳnh Văn Nghệ,Đất,5 ngày trước,0,False,10.846765,106.76622,"10.8467644,106.7662221",,"1,4 tỷ",25 m2,5 m2,,False,2026-03-25 13:30:21,1400000000 ₫,Mua bán,,125 m²,Đất thổ cư,11.2 tr/m²,Đã có sổ,Mặt tiền;Thổ cư toàn bộ
30439214,129966245,,Tp Hồ Chí Minh,TP Hồ Chí Minh,Thành phố Thủ Đức,Phường Hiệp Bình Phước (Quận Thủ Đức cũ),Phường Hiệp Bình,,Đường Quốc lộ 13,Đất,2 tuần trước,0,True,10.835623,106.71386,"10.8356225,106.7138595",osm:W722367525,"3,8 tỷ",,5.17 m2,0,False,2026-03-15 12:03:23,3800000000 ₫,Mua bán,,57.0998 m²,Đất thổ cư,66.55015 tr/m²,Đã có sổ,Hẻm xe hơi;Thổ cư toàn bộ
3382801,129966657,,Tp Hồ Chí Minh,TP Hồ Chí Minh,Huyện Hóc Môn,Xã Xuân Thới Thượng,Xã Bà Điểm,,Đường Xuân Thới Thượng 2,Đất,3 ngày trước,0,True,10.855784,106.56845,"10.8557846,106.5684531",osm:W330618207,"3,9 tỷ",23 m2,5 m2,0,False,2026-03-27 16:10:03,3900000000 ₫,Mua bán,,115 m²,Đất thổ cư,33.913044 tr/m²,Đã có sổ,Mặt tiền;Thổ cư toàn bộ
18885235,129967887,,Tp Hồ Chí Minh,TP Hồ Chí Minh,Huyện Bình Chánh,Xã Lê Minh Xuân,Xã Bình Lợi,,Đường Mai Bá Hương,Đất,hôm qua,0,True,10.789142,106.514496,"10.7891418,106.5144937",osm:W1272035145,625 triệu,18 m2,5 m2,0,False,2026-03-28 21:31:04,625000000 ₫,Mua bán,Đông Nam,90 m²,Đất thổ cư,6.9444447 tr/m²,Đã có sổ,Mặt tiền;Thổ cư toàn bộ
28596547,129968150,,Bà Rịa - Vũng Tàu,TP Hồ Chí Minh,Thành phố Bà Rịa,Xã Hoà Long,Phường Tam Long,,đường số 28,Đất,3 tuần trước,0,False,10.52779,107.20163,"10.5277905,107.2016295",,"1,57 tỷ",28 m2,6 m2,0,False,2026-03-11 13:18:01,1570000000 ₫,Mua bán,,170 m²,Đất thổ cư,9.235294 tr/m²,Đã có sổ,Mặt tiền;Nở hậu;Thổ cư 1 phần;Hẻm xe hơi
17948341,129969161,,Bình Dương,TP Hồ Chí Minh,Thị xã Tân Uyên,Phường Uyên Hưng,Phường Tân Uyên,Lô H48,Đường Tố Hữu,Đất,2 tuần trước,0,False,11.08416,106.788345,"11.0841596,106.7883416",,"1,89 tỷ",14 m2,4.5 m2,0,False,2026-03-17 16:34:03,1890000000 ₫,Mua bán,,63 m²,Đất thổ cư,30 tr/m²,Đã có sổ,Thổ cư toàn bộ
18242583,129972208,,Tp Hồ Chí Minh,TP Hồ Chí Minh,Thành phố Thủ Đức,Phường Bình Chiểu (Quận Thủ Đức cũ),Phường Tam Bình,hẻm 8m 1 trục cách 50m ra tỉnh lộ 43,Đường Tỉnh lộ 43,Đất,3 tuần trước,0,True,10.873241,106.732346,"10.8732412,106.732344",osm:W1289050524,"4,1 tỷ",13.3297 m2,4.5 m2,0,False,2026-03-09 18:34:15,4100000000 ₫,Mua bán,,60 m²,Đất thổ cư,68.333336 tr/m²,Đã có sổ,Hẻm xe hơi
4281204,129972888,,Tp Hồ Chí Minh,TP Hồ Chí Minh,Huyện Bình Chánh,Xã Tân Kiên,Xã Tân Nhựt,,Bv PHẠM Ngọc Thạch ,Đất,4 giờ trước,0,False,10.716207,106.58481,"10.716207,106.5848072",,"3,8 tỷ",14 m2,6.5 m2,0,False,2026-03-30 09:59:57,3800000000 ₫,Mua bán,,95 m²,Đất thổ cư,40 tr/m²,Đã có sổ,Mặt tiền;Chưa có thổ cư
19035059,129975577,1447318798,Tp Hồ Chí Minh,TP Hồ Chí Minh,Thành phố Thủ Đức,Phường Cát Lái (Quận 2 cũ),Phường Cát Lái,,Nguyễn Thị Định,Đất,5 ngày trước,0,False,10.77446,106.76999,"10.77446,106.76999",,"4,5 tỷ",20 m2,5 m2,0,False,2026-03-24 22:09:34,4500000000 ₫,Mua bán,,100 m²,Đất thổ cư,45 tr/m²,Đã có sổ,Mặt tiền;Thổ cư toàn bộ
16983373,129978043,,Tp Hồ Chí Minh,TP Hồ Chí Minh,Quận Gò Vấp,Phường 11,Phường Thông Tây Hội,,Đường Thống Nhất,Đất,2 tuần trước,0,True,10.835463,106.66462,"10.8354624,106.6646199",osm:W1008766767,"5,85 tỷ",9.5 m2,5.5 m2,,False,2026-03-15 15:11:15,5850000000 ₫,Mua bán,,44 m²,Đất thổ cư,132.95454 tr/m²,Đã có sổ,Hẻm xe hơi
